content,valence,arousal,dominance
affordable,7.52,4.11,6.16
universe,6.81,3.91,3.7
candidate,4.5,5.32,5.48
patent,5.34,3.64,5.79
slot,5.2,4.1,5.12
outstanding,7.1,4.04,6.86
perspective,6.21,3.64,6.36
lodge,6.43,3.33,5.8
messenger,5.65,4.57,5.65
mirror,5.9,4.55,5.5
tournament,6.24,4.08,5.18
consideration,6.4,3.45,7.11
sterling,5.89,5.32,5.64
kernel,5.23,3.87,5.53
gray,3.68,2.81,4.77
catalogue,4.85,3.73,6.11
broad,5.14,3.26,4.23
demo,5.65,3.91,5.57
hate,1.96,6.26,4.47
terminal,4.27,3.68,4.15
liquid,5.35,3.67,6.16
rice,5.7,3,5.5
loop,5.26,3.52,4.9
salary,6.42,4.86,5.05
reservation,5,4.24,5
gourmet,7.25,6,5.54
guard,5.89,3.6,4.06
remaining,5.2,3.57,4.76
empire,5.36,4.59,5.95
resume,4.89,3.67,5.04
twenty,6.25,3.67,5.14
raise,7.22,5.1,5.44
prepare,5.32,4.15,7.26
illegal,2.53,5.55,4.72
expansion,6.4,5.7,5.42
vary,4.5,3.59,5.75
premier,5.37,4.62,5.48
milk,6.74,2.33,6.31
decide,6.28,3.1,6.28
consent,6.42,3.88,6.58
drama,4.37,5.14,4.14
keyboard,5.17,3.59,5.13
contest,5.85,3.77,4.93
boot,5.3,3.95,6.24
suitable,5.7,3,6.16
lunch,6.64,3.57,6.44
audit,2.82,5.78,3.68
push,5.39,4.4,4.06
chamber,4.73,4.58,5.5
guinea,5.5,3.48,5
muscle,6.15,4.55,6.81
implement,5.05,3.82,6.95
typical,4.58,3.37,5.4
tower,5.24,3.86,5.45
sum,5.71,3.1,5.88
calculator,5.86,4.47,6.48
chicken,6.17,3.2,5.22
temporary,4.33,3.35,4.29
attend,5.4,3.5,6.7
shower,7.19,4.15,7.47
sufficient,6.1,3.17,6
shell,6.05,3.23,5.62
province,5.14,3.33,5.18
catholic,4.95,2.83,4.17
oak,6.47,2.64,5.91
vat,4.61,3.25,4.96
awareness,6.45,3.73,7.22
governor,5.32,3.65,6.05
Governor,4.53,3.82,4.79
beer,5.67,4.3,5.33
contribution,6.58,3.18,7
measurement,5.11,3.09,5.18
swimming,7.2,5.13,5.83
formula,5.3,3.61,4.73
constitution,5.47,3.35,5.4
packaging,5.15,3.3,5.36
solar,6,3.87,5.61
catch,5.64,4,5.47
reliable,7.3,3.76,6.72
consultation,5.29,4.84,5.32
northwest,5.81,2.71,4.9
sir,5.45,4.33,5.11
doubt,3.28,4.33,3.06
earn,7,4.35,6.75
finder,5.77,4.35,5.79
unable,2.96,3.61,3.08
classroom,5.57,4,5.05
democracy,6.16,5.05,5.58
wallpaper,5.38,2.81,5.64
merchandise,5.21,3.78,4.76
resistance,3.74,5.23,3.92
memorial,5.72,3.25,5.24
visitor,5.27,4,5.29
twin,5.81,3.95,4.09
insert,5.1,3.68,5.85
gateway,5.75,3.81,6.16
biological,6.57,3.52,5.11
transition,5.43,3.65,4.41
spy,4.68,4.74,3.84
romance,7.28,6.06,5
instrument,6.68,3.88,6.35
split,4.5,5.55,5.79
heaven,7.5,4.23,5.22
pregnant,7.17,5.7,4.06
classification,4.77,3.45,5.74
physician,5.24,3.96,5.23
bargain,7.63,5.48,6.11
cellular,5.68,3.67,5.74
spiritual,5.82,4.82,6.3
hunting,4.75,3.71,5.76
diabetes,2.74,4.04,3.11
suit,5.89,3.05,5.17
shift,4.95,3.82,5.38
chip,6.32,2.75,4.58
sit,5.82,3.19,6.06
flexible,6.74,4.45,6.68
loved,7.65,5.59,6.68
numerous,5.35,3.39,6.25
satisfaction,7.18,3.18,6.44
superior,6.37,4.74,5.95
cartoon,6.74,5.05,5.26
intellectual,7.65,4.53,6.56
carbon,4.5,4.05,5.05
comfortable,7.67,2.38,6.89
magnetic,6.17,3.55,4.84
interaction,5.62,4.35,5.06
registry,4.68,3.52,6.05
crisis,2.05,6.29,3.77
outlook,6.15,3.43,6.12
massive,5.18,5.79,5.71
bright,6.84,5,6.38
treat,6.84,5,6.66
header,5.33,3.33,5.46
poverty,2,5.3,3.16
piano,6.4,3.61,5.42
echo,5.2,3.61,4.59
grid,5.2,3.15,5.18
experimental,5.65,5.57,4.62
revolution,4.81,5.68,5.23
plasma,6.05,5.3,5.19
earnings,6.37,4.84,6.85
mystery,5.29,5.04,4.33
landscape,7,3.75,5
dependent,4.5,3.73,4.37
mechanical,5.67,5.4,5
journey,6.65,4.89,6.77
bidding,5.29,4.91,5.76
banner,5.17,3.55,5.17
applicant,4.91,3.96,5.08
charter,5.55,3.84,5.74
fig,5.23,4.22,6.05
cooperation,6.62,3.32,6.83
acquisition,5,4.36,5.93
notification,5.24,4.5,5.09
teach,7.06,3.47,5.78
rapid,4.57,6.45,5.24
pull,5.59,4.1,6
hairy,3.8,3.5,5.22
diversity,6.14,3.21,4.71
reverse,5.2,3.73,6.08
deposit,6.25,4.5,6.37
seminar,5.2,3.74,4.82
specify,5.53,3.64,5.22
sensitive,6.33,3.68,5
tab,5.09,4.42,5.71
boots,5.89,3.52,5.08
concrete,4.82,3.63,5.9
editing,5.45,5.58,6.57
folder,5.7,2.33,5.42
completion,7.38,4.24,7.73
upload,6.6,3.6,6.84
pulse,6.38,4.85,4.77
technique,7,3.45,5.68
calculate,4.89,3.18,6.39
broadcast,4.89,4.41,4.92
anniversary,6.95,4,6.86
strip,4.68,5.27,5.81
pearl,6.05,3.5,5.94
accident,2.55,4.93,3
accessible,6.68,3.2,6.58
accessory,5.35,4.22,5.83
plot,4.9,4.52,5.29
airline,5.36,4.12,4.92
representation,4.86,4.36,5.8
regard,5.7,3.39,6.38
pump,4,4,5.74
smooth,6.42,2.76,6.26
strike,3.06,5.52,3.28
consumption,4.65,3.76,6
narrow,4.95,4.53,5.19
afternoon,6.68,3.48,5.71
threat,2.63,6.57,3.6
consultant,6.05,2.76,5.68
controller,4.43,4.08,6.16
ownership,5.85,4.41,7.53
trailer,4.44,2.85,5.16
castle,6.42,4.72,6.35
antique,6.5,4,5.79
willing,6.83,2.76,6.5
bio,5.2,3.14,6.05
molecular,5.5,3.52,5.14
exam,4.33,5.17,4.19
residence,6.74,3.17,5
antiques,6.63,3.68,5.17
density,5.15,3.55,4.55
hundred,6.5,3.7,5.67
strange,4.72,3.5,5.28
statistical,5.1,3.19,4.92
mention,5.39,2.65,5.33
innovation,6.95,6.42,6.38
parallel,5.29,2.87,5.56
operate,5.37,4.62,5.78
bold,6.68,4.86,6.39
bathroom,5.26,2.86,5.25
stable,5.2,3.11,6.33
opera,5.68,3.84,6.25
lesson,5.57,3.8,6.79
cinema,6.86,6.05,5.94
asset,7.25,4.43,6
scan,5.47,4.09,5.63
reaction,4.68,3.95,6.3
blank,4.67,2.9,4.68
severe,3.21,5.43,4.05
generate,6.14,4,5.45
stainless,5.85,3.36,5.56
deluxe,6.76,4.96,6.59
humor,7.75,5.11,6.75
exception,5.25,4.35,4.12
duration,5.43,3.3,4.81
bulk,4.89,3.43,5.05
fabric,6.05,2.4,5.8
contrast,5.3,4.23,6.3
recommendation,6.1,3,6.22
recruitment,4.81,4,4.5
sin,3.08,5.82,5.74
cute,7.56,5.05,6.02
adoption,6.68,4.82,5.62
expensive,3.36,6.1,6.21
capture,5.05,5.43,3.57
plane,5.72,4.91,5.07
seed,6.38,3.68,5.19
desire,7.05,6.2,6.07
expertise,6.1,5.95,6.73
mechanism,4.9,3.64,5.42
camping,6.09,5.5,6.32
welfare,3.58,4.32,4.25
peer,5.64,4.05,6.05
bottle,5.47,3.32,5.88
innovative,6.38,4.17,6.55
massage,7.16,3.88,6.57
rubber,4.37,4.14,5.38
conclusion,4.8,3.95,6.63
thousand,6.44,3.5,6
meat,6.62,4.3,5.58
legend,6.86,5.13,6.78
python,3.61,5.91,3.56
monster,2.55,5.55,5
bang,5.1,6.09,4.89
villa,6.44,2.9,5.85
bone,5.24,4.75,6
collaboration,5.19,4.39,6.21
detection,4.63,3.95,5.11
inner,5.11,3.5,5.71
formation,5.58,4,5
med,5,3.52,5.64
entity,5.19,3.48,4.94
gate,5.32,4.5,5.95
holder,5.17,2.85,5.14
settlement,5.67,3.36,4.93
roman,5.55,4.36,5.78
valuable,7.17,3.85,6.04
tone,5.47,3.67,5.18
ethics,6,3.71,6.6
dragon,6.68,5.45,5.17
busy,5.41,4.52,4.44
captain,5.71,3.86,5
fantastic,8.36,6.4,7.21
imagine,7.2,4.46,6.92
heating,5.85,3.61,5.83
leg,6.22,2.75,5.5
neck,5.44,3.65,5.17
wing,6.15,4.32,6.5
stereo,7.1,4.04,6.81
taste,6.63,4.56,7.33
commit,5.85,3.5,6.63
tiny,5.1,4.6,6.16
operational,5.6,4.32,5.81
rail,5.1,2.62,5.5
gap,4.91,3.6,4.71
tube,5.53,3.14,4.68
corresponding,5.1,4.52,5.95
cache,4.95,4.14,6.06
belt,4.44,3.45,5.75
jacket,5.86,3.35,6.89
determination,7.58,5.52,7.06
animation,6.42,5.52,5.16
oracle,6.16,3.62,4.07
lease,4.75,3.23,4.63
aviation,5.9,4.05,5.62
proud,7,5.55,7.09
excess,4.29,5.42,5.29
disaster,1.71,6.35,2.97
console,6.53,4.09,5.79
instructor,6.15,5.05,5.81
giant,5.41,5.1,6.68
biz,4.7,4.42,5.27
alarm,3.86,6.85,6.58
voltage,4.96,5.36,4.5
nintendo,6.8,6.37,6.23
usual,5.48,3.2,6.58
angle,4.55,3.22,5.27
rob,2.1,5.54,3.57
vinyl,5.2,3.39,5.05
mining,4.5,4.57,5.53
ongoing,4.79,4.24,5.08
imaging,5.95,4.9,5.61
liberty,7.2,4.5,7.04
blackjack,5,5.05,5
era,5.29,3.62,4.92
convert,5.11,3.65,5.42
possibility,6.55,4.85,5.77
analyst,5,3.24,4.76
commissioner,4.68,3.25,5.65
dangerous,2.33,6.81,2.56
garage,5.5,4.1,6.11
exciting,7.95,6.95,7.21
attachment,6,2.96,6.32
pleasure,7.8,6.8,7.18
honor,6.9,4.63,6.9
eagle,6.47,4.57,5.09
pants,5.62,3.8,6.29
nurse,5.41,4.64,5.58
prayer,5.67,4.04,6.37
appointment,4.43,4.8,6.68
hurricane,3.16,5.75,2.98
quiet,6.47,1.95,5.8
luck,6.73,4.57,6.06
postage,5.09,2.57,4.36
producer,6.15,3.89,5.81
dial,4.63,3.76,6.89
cheese,6.81,3.8,7.11
comic,7.5,4.3,5.6
jet,6.74,5.26,5.44
productivity,6.55,5.1,6.58
crown,6,4.52,5.62
par,4.85,2.94,5.67
underground,4.7,4.24,5.1
diagnosis,4.62,4,3.55
maker,5.74,4.16,6.15
crack,2.68,5.25,5.42
principle,5,3.27,5.48
gang,2.71,6.55,5.37
semester,5,4.2,4.95
fetish,5,4.67,4.8
appearance,6.14,4.57,5.9
smoke,3.44,5,4.17
apache,5.2,3.7,4.95
craft,6.38,4.04,6.36
cake,7.58,5.33,5.88
fellow,6.28,3.05,6
blind,2.8,3.73,3.04
lounge,5.95,2.64,5.88
mad,2.47,5.59,4.9
algorithm,5.3,3.7,4.04
semi,5.57,3.32,4.95
gross,3.2,5,4.62
valentine,6.4,4.79,6.29
horror,3.38,6.13,3.49
familiar,6.19,2.5,7.21
capable,7.05,4,7.07
pen,5.63,2.75,6.17
admission,5.91,3.69,5.54
shoe,5.78,2.4,5.44
victory,7.59,5.9,6.95
sand,6.16,3.43,4.82
terrorism,1.6,7.42,2.69
joy,8.21,5.55,7
ethnic,5.36,3.55,5.05
parliament,4.9,2.81,4.08
actor,6.15,4.35,5.64
seal,5,2.5,5.63
citizen,6.43,2.63,5.95
vertical,5,4.32,5.58
structural,5.6,3.67,5.27
municipal,4.89,3.05,4.92
prize,8,5.5,6.16
absolute,5.43,3.48,5.58
anytime,5.81,4.6,5.32
substance,4.29,3.62,5.75
pipe,4.75,4.11,5.92
guardian,6.5,2.91,5.48
lecture,4,3.16,4.5
simulation,5.67,3.83,4.81
layout,4.95,3.52,4.95
concentration,5.45,4,6.63
lay,6.18,3.7,6.32
interpretation,5.6,4.21,5.43
dirty,3.17,5.05,5.05
deck,5.68,3.25,5.38
donate,6.7,3.25,6.71
bankruptcy,2.52,5.39,3.31
worker,5.95,3.6,6.29
alive,6.57,5.93,6.77
temple,5.3,3.36,5.84
prove,6,3.25,5.78
genetic,4.79,3.83,3.76
promise,6.64,3.9,6.47
thin,5.47,4.5,5.33
exhibition,5.53,5.38,5.39
prefer,5.62,4.65,6.89
ridge,4.62,3.52,5.28
cabinet,5.1,3.75,5.78
modem,5.29,3.55,4.5
sick,2.29,4.67,2.84
dose,4.91,2.95,5
evaluate,5.1,3.78,6.2
tropical,7.05,4.3,5.62
collect,5.9,3.14,5.48
bet,4.95,4.76,5.5
composition,5.52,3.4,5.89
nationwide,5.2,3.72,5.45
vector,4.57,3.52,4.8
buffer,5.42,4.05,5.43
purple,5.6,4.05,5.85
existence,6.25,4.38,5.11
commentary,5.5,3.5,5.45
immigration,4,4.22,3.5
mutual,6.48,3.5,6.45
pipeline,5.05,4.33,4.76
attribute,5.67,4.12,6
prison,1.94,5.1,3.54
skill,6.65,4.94,7.41
everyday,5.47,3.14,5.96
popularity,5.81,4.32,5.89
inquiry,5.09,3.67,5.76
exhibit,5.77,5.48,6.21
throw,5.55,4.52,6.12
trend,5.33,4.45,4.95
visible,5.76,4.15,6.12
desert,5.36,3.5,5.58
coordinator,5.43,4.41,5.75
mercury,5.67,4.8,3.96
handbook,5.3,3.36,5.85
navigate,5.05,4.18,5.71
summit,5.5,4.35,4.45
fundamental,4.95,3.56,5.33
escape,5.5,4.55,5.44
receiver,4.9,3.89,6
substantial,6.14,5,6.62
progressive,6.26,4.38,6.61
glance,5.71,2.63,5.48
championship,6.74,6.9,6.4
arcade,6.45,6.1,6.81
impossible,3.5,4.52,3.5
obvious,5.33,3.65,6.47
fiber,5.42,3.58,5.36
depression,2.44,5.2,3.33
graph,5.2,3.45,6.15
platinum,6.2,4.78,5.75
judgment,4.65,4.27,5.54
modeling,5.67,3.92,4.65
tissue,5.3,3.1,5.32
memorabilia,6.55,3.77,6.05
cartridge,5.05,3.06,5.54
explanation,6.38,4.05,6.14
folk,6.17,2.45,6
fraud,2.05,5.18,3.48
electricity,6.15,4.3,4.68
spectrum,6.65,3.05,4.82
arrival,6.67,3.6,6.53
pottery,5.79,2.75,6
emphasis,5.26,4.1,5
aspect,4.89,3.39,4.76
workplace,5.38,3.5,5.56
awesome,7.86,6.05,7.11
crash,2.9,4.55,3.3
lift,5.32,4.9,6.84
shadow,5.07,3.1,4.41
infection,2,4.95,3.8
expense,3.9,4.82,4.41
grove,5.26,3.73,6.05
venture,5.33,5.55,6.08
clinic,4.95,2.95,4.52
healing,7.63,3.67,6.21
princess,7.64,5.42,5.74
mall,4.45,5.3,6
packet,5.16,3.62,5.55
spray,5.06,4,6.22
involvement,5.81,2.95,6.41
dad,7.14,4.05,6.12
placement,4.96,3.48,6.2
extend,5.86,3.62,6
subsequent,5.16,4,5.22
motorcycle,5.8,5.8,5.55
yard,5.7,3.68,5.84
disclosure,4.71,3.15,4.27
memories,7,4.19,6.11
tourist,5.71,3.57,5.05
mayor,4.59,4.15,6.21
murder,1.48,6.24,3.38
adequate,4.7,3.64,6.89
senator,4.32,3.75,5.84
Senator,4.47,3.9,4.35
yield,5.19,3.85,5.06
pour,5.16,3.28,5.35
digest,4.74,2.9,4.92
dust,3.72,3.45,4.56
wiki,5.85,3.64,6.63
radar,5.32,4.55,5.63
rescue,7.04,5,5.94
undergraduate,5,3.95,6.2
combat,2.95,6.09,4
occupation,4.77,4.33,5.47
radiation,3.32,4.56,4.06
diary,6,3.73,6.86
ear,5.86,3.5,6.74
pollution,2,5.19,4.16
conservative,4.55,2.65,4.82
shock,3.9,5.95,5.79
effectiveness,6.9,4.95,6.19
ebony,6.14,4.32,4.71
tie,5.33,3.1,5.17
ward,4.43,3.28,4.21
roof,4.48,3.4,7.05
demonstrate,5.47,4.14,6
atmosphere,6.05,4,4.86
kiss,7.78,6.05,6.52
beast,4.42,5.83,4.08
experiment,6.05,4.86,5.7
counsel,5.48,2.86,5.19
federation,4.68,3.55,5.35
pizza,7.89,4.58,5.47
assignment,5.39,4.45,6
mod,5.57,3.65,4.81
rush,4.05,6.55,6.79
absence,3.86,4.3,4.24
cluster,5.05,4.21,4.89
yoga,6.05,3.33,6.48
surprise,7.44,6.57,5.17
lamp,5.74,2.71,6.04
partial,5.29,3.8,5.59
ranking,5.42,3.86,6.21
sublime,5.95,3.82,5.21
counseling,5.9,3.4,4.2
palace,6.1,4.67,5.4
acceptable,6.59,3.65,6.58
satisfied,7.16,3.95,6.26
glad,7.55,3.71,7
verify,5.43,4.21,6.57
globe,6.15,3.36,5.4
copper,5.6,4.14,6.19
rack,5.55,4.52,5.12
medication,3.65,4.56,6.21
warehouse,4.43,3.57,5.06
rep,4.86,3.95,5.2
receipt,5.41,4.5,5.38
supposed,5.41,3.48,5.24
ordinary,5.05,2.86,5.89
ghost,4.23,5.7,4.47
violation,2.29,4.52,3.28
stability,6.18,2.64,6.25
southwest,5.8,2.52,6.2
boss,4.76,4.43,4.65
pride,6.5,5.54,5.83
independence,7.53,5.27,7.1
reporter,4.57,3.17,5.17
metabolism,5.4,4.17,4.36
champion,7.33,4.74,5.88
cloudy,4.89,3.36,3.65
solo,5.91,4.12,6.04
sentence,5.13,3.09,6.53
throat,4.76,4.2,5.84
ignore,3.33,3.8,4.83
uniform,4.37,3.55,4.67
excellence,7.87,5.3,7.4
wealth,7.33,5.24,6.53
tall,6.71,3.85,6.47
vacuum,5.38,4.63,6.52
recognize,6.14,4.2,7.11
brass,5.05,4,5.95
plaza,6.33,3.9,4.96
survival,7.05,5.4,5.86
quest,6.26,5.8,6
publish,5.91,3.67,6.44
screening,4.77,4.14,6.2
toe,5.24,3.1,5.1
lifetime,7.3,4.52,5.09
pioneer,6,3.43,6.31
booty,5.63,5.43,5.3
acrobat,6,4.9,5.42
venue,5.37,4.18,6.04
athletic,6.76,5,6.11
thermal,5.36,3.48,5.09
vital,5.84,5.15,6.5
coastal,6.21,4.3,5.05
charity,6.85,3.22,6.08
intelligent,7.6,5.67,6.77
excel,5.95,4.85,6.61
obligation,4.68,5.76,5.39
wake,6.57,3.8,5.71
stupid,2.84,4.34,4.03
harbor,5.86,3.14,5.38
traveler,6.39,4.75,5.17
segment,4.63,3.61,5.29
realize,6.44,3.24,6.94
enemy,2.22,5.3,2.5
puzzle,6.53,4.42,5.86
aluminum,5.1,4.05,6
insight,6.76,3.96,6.3
restricted,3.83,4.59,3.43
republican,4.26,3.11,5.4
lucky,7.32,5.3,5.36
thick,4.63,3.13,5.72
repeat,4.64,3.7,6.21
syndrome,4.33,4.68,3.77
attendance,5.95,4.24,5.59
penalty,2.8,3.89,3.7
drum,6.05,4.67,5.65
builder,5.95,3.32,6.93
flood,2.76,5.31,3.16
ease,6.15,2.45,6.42
arena,5.75,4.23,6.04
announcement,5.81,4.3,5.05
outcome,5.62,3.68,6.37
appreciate,7.33,3.1,7
casual,6.05,3,6.35
polish,6,3.36,6.38
lovely,7.55,3.95,6.38
clause,4.9,3.32,4.8
smile,7.89,4.62,7.72
indoor,6.29,2.86,6.54
armed,4.11,6.3,5.68
broker,4.15,3.77,5.37
charger,5.28,3.59,5.04
pine,6.58,3.25,4.95
tend,4.8,3.22,6.33
divorce,2.49,5.39,4.02
shopper,5.29,3.94,6.06
tradition,6.09,4.61,6.37
candy,7.27,5.03,6.46
tiger,6,5.55,4.4
sensor,4.6,3.47,5.05
hunt,3.84,5.1,5.3
deputy,5.3,4.05,5.52
complaint,3.21,4.29,3.75
boost,6.53,4.7,6.25
spanking,3,5.98,4.62
scholarship,6.76,5.8,6.08
mill,5.39,2.21,4.76
chronic,3.86,4.91,4.26
moral,6.85,3.73,6.31
den,5.11,2.86,5.68
finger,5.8,4.15,5.32
pound,4.62,4.26,6.11
locate,5.58,3.67,6.3
camcorder,6.43,4.42,5.86
burn,3.73,5.4,3.9
bread,6.52,3.85,6.05
tobacco,3.37,5,4.13
wooden,5.27,4,5.79
tough,4.45,4.24,6
incident,4.2,5.65,5.05
lie,2.39,4.81,4.72
conversation,6.72,2.65,6.28
decrease,4.16,3.05,3.68
chest,5.18,4.95,6.58
pension,6.19,2.9,4.77
worship,5.57,3.78,4.65
capability,6.63,4.29,6.6
precision,6.38,3.91,6.77
solve,6.3,4.35,6.67
shorts,5.95,4.23,6.57
reproduction,6.67,4.71,5.45
minority,4.75,3.1,4.88
diverse,6,3.64,6.17
amp,5.79,5.05,5.13
sole,4.9,3.78,5.27
franchise,5,4.1,5.48
recorder,5.53,3.32,6.27
passion,7.53,6.08,6.23
rehabilitation,5.24,4.24,5.26
sight,7.11,3.2,5.94
clay,5.45,3.84,5.64
weak,2.95,4.9,5.32
refund,7,4.96,6.45
reception,6,4.05,6.08
wise,7.42,4.46,6.86
odds,5.32,4.39,5.32
insider,4.5,4.39,5.63
geography,5.4,2.56,4.45
integrity,6.11,3.36,6.96
worry,2.1,6.33,3.17
discrimination,2.45,5.62,4.57
legacy,7.38,4.75,5.67
pleased,7.82,4.25,6.84
danger,2.66,5.84,3.64
vitamin,6.24,3.38,6.71
phrase,5.5,3,5.12
genuine,7.11,4.27,7.5
paradise,7,4.82,7.9
hybrid,5.47,3.81,5.4
intermediate,5.05,3.28,4.94
emotional,5.11,5.32,4.5
leaf,6.16,3.05,5.54
pad,5.14,3.96,5.45
glory,6.45,6.31,6.72
billing,3.23,5.18,4.47
diesel,4.32,3.78,5.29
combine,4.84,3.64,5.54
geographic,6.21,3.05,4.57
exceed,4.79,5.52,6.75
rod,4.95,3.05,5.19
fault,3.53,4.02,4.02
preliminary,4.73,3.73,5.37
introduce,5.91,4.55,6.84
silk,6.55,3.88,5.55
promotional,5.45,4.77,6.53
romantic,7.61,5.12,6.45
generator,5.65,3.62,5.48
examine,5.61,3.95,5.84
suspension,4.35,4.57,5.46
sad,2.1,3.49,3.84
correction,4.05,4.37,6.05
wolf,6.26,5.25,4.59
communicate,6.28,3.79,6.8
rugby,5.94,4.1,5.61
supplement,5.43,3.22,5.22
infant,6.65,4.1,5.26
fluid,5.05,4.04,5.75
kick,4.55,5.1,5.1
meal,7.05,4.85,7.11
hurt,2.45,4.72,3.73
machinery,4.65,3.89,4.76
bandwidth,5.32,3.43,4.91
equation,5.29,3.91,5.59
probability,5,3.81,5.12
pot,5.81,4,6
dimension,5.24,3.73,5
slip,4.33,4.7,3.81
reviewer,5.16,2.95,5.05
quarterly,4.95,3.2,5.11
devil,3.11,5.4,3.84
grass,6.47,3.39,5.67
comply,4.25,2.68,4.7
florist,6.55,3.19,5.82
cherry,7.05,4.91,5.63
continental,5.4,3.38,5.04
alternate,5.15,3.48,5.2
achievement,7.28,5.57,7.17
funeral,2.07,4.1,3.06
earrings,5.32,4.22,5.71
automated,4.74,4.05,4.5
pee,4.5,3.32,5.91
passenger,4.55,3.82,4
convenient,7.15,3.48,5.08
socket,4.45,4.04,5.42
silent,5.14,3.21,6.59
literary,5.95,3.9,6.43
egg,5.95,3.28,5.74
orientation,6,3.38,5.58
pill,4.16,3.73,4.88
theft,2.6,5.17,3.93
childhood,6.65,3.73,5.3
swing,6.95,4.1,6.16
facial,6.24,4.55,6.09
talent,6.3,5.6,6.11
flexibility,6.9,4.5,6.73
seeker,6.33,4.95,5.85
wisdom,7.94,3.77,7.14
shoot,3.5,6,4.67
boundary,4.75,4.17,3.95
mint,6.55,4.9,6.62
offset,4.79,4.05,4.75
payday,7.95,6.81,5.54
elite,5.71,5.9,5.34
spin,4.9,3.68,4.92
deadline,3.19,5.74,4.53
jurisdiction,4.68,3.95,4.33
robot,6.18,4.43,5.14
witness,5.61,3.67,4.44
powder,5.26,2.77,6.05
assess,5.84,3.45,5.21
wash,6,3.7,6.53
entrance,6.05,3.7,5.41
gnome,6.24,4.21,4.21
declaration,5.67,4.24,5.24
noble,7.16,4.14,6.71
rev,5.36,4.3,5.26
gospel,5.28,2.7,3.84
loose,4.52,4.3,5.53
recipient,5.68,5.53,4.81
illness,1.95,5.11,3.02
athletics,6.14,4.93,6.15
southeast,5.8,3.6,5.19
pending,3.79,4.55,5.4
conditioning,4.89,3.77,5.96
teenage,5.8,5.26,5.05
soap,7.1,2.62,5.32
triple,5.86,5.6,4.75
jam,5.81,3.95,5.89
unusual,5.81,4.15,4.55
destruction,2.53,5.62,3.78
migration,4.52,3.54,4.88
disorder,3.76,4.9,4.19
routine,4.95,3.15,6.27
conventional,5.47,3.77,5.68
axis,4.19,3.92,5.59
habitat,5.85,3.06,5.62
firewall,4.43,4.91,4.76
median,4.5,3.23,5.95
scanner,5.57,4,5.33
occupational,6.18,4.32,5.8
animated,6.65,5.77,6.71
judicial,4,4.59,4.9
adjustment,5.53,4.59,4.53
hero,7.44,6.35,5.78
bachelor,5.58,4.14,5.13
attitude,4.72,4.76,5.88
engaged,6.78,5.2,5.42
basics,5.86,3.14,5.55
carpet,5.95,2.77,5.1
binary,4.58,3.29,4.6
genetics,4.84,4.27,3.29
difficulty,2.57,4.21,4.64
punk,4.25,4.14,3.96
collective,5.19,2.86,5.4
coalition,4.9,3.9,5.6
pi,5.4,3.35,4.85
enrollment,6.19,3.76,6.05
duke,4.8,4.21,5.41
pace,5,3,6.11
wage,6,3.43,4.48
collector,5.27,4.91,5.47
atlas,5.95,2.5,5.7
strings,5.28,2.58,5
dawn,6.74,3.1,4.98
observation,5.61,3.23,6.04
torture,1.4,5.09,2.76
coat,5.29,3.1,6.68
restoration,5.8,3.76,6.26
convenience,7.14,3.5,5.5
opposition,3.21,4.5,4
container,5.7,3.57,6
defendant,4.05,4.14,3.95
confirmation,5.71,3.83,5.55
supervisor,4.28,4.05,5.55
wizard,6.52,4.09,4.68
corps,4.24,3.52,4.69
liver,4.19,3.27,4.67
liable,4,4.32,5.19
brochure,4.74,3.43,5.32
petition,4.8,3.1,5.54
recall,4.77,4.48,5.78
antenna,5.43,3.15,5.67
departure,4.05,3.65,5.09
belief,6.14,3.95,7.18
killing,1.95,5.52,4.47
bikini,5.57,5.43,5.57
shoulder,5.1,2.96,4.81
decor,5.95,3.38,7.32
ion,5.1,4.19,5.16
diameter,4.76,4.04,5.28
doll,5.88,3.51,5.66
refine,5.17,3.6,7.19
bidder,5.39,3.5,5.32
singer,6.9,4.86,5.79
herald,4.89,3.85,5.46
literacy,7.55,3.95,6.36
aging,3,3.8,3.06
Nike,5.86,4.71,5.95
intervention,4.14,4.74,4.57
attraction,7,5.4,4.62
invite,5.68,5.1,6.95
modification,5.05,4.1,6.62
suppose,5.27,3.33,5.11
customized,6.91,4.87,6.58
involve,5.44,3.6,5.28
moderate,5.52,4,5.53
terror,2.75,6.35,2.95
thirty,4.74,3.57,5.7
opposite,4.77,3.43,4.95
ban,3.38,5.2,5.86
temp,4.63,3.62,4.9
intro,5.15,4.48,5.84
assurance,5.95,2.81,6.07
clerk,4.76,3.85,5.24
vast,5.68,4.71,5.45
outline,5.1,2.62,5.8
jeans,5.47,3.95,6.26
metropolitan,5.84,4.91,5.42
verification,5.4,4.05,5.45
odd,4.56,4.26,5.42
wrap,5.57,3.85,5.31
mood,5.29,4.5,5.79
favor,6.67,4.61,6.24
quiz,4.53,4.95,4.9
sigma,4.83,3.23,5.26
attractive,7.19,4.91,6.81
occasion,6.45,4.79,5.52
victim,2.05,5.37,2.77
careful,6.32,2.95,5.83
beam,5.74,3.59,6.54
gardening,6.86,3.2,6.32
arrive,6.41,5,6.84
orchestra,6.5,4.07,5.76
sunset,7.46,4.68,5.32
minimal,4.62,3.41,4.67
lottery,6.33,6.05,3.45
essay,4.9,4,5.55
discipline,5.9,5.8,5.96
dialogue,6.25,2.86,5
alphabetical,6.32,3,6.14
